��textbox24,textbox19,textbox5,DISTANCE_KONTROLA_0_1,DISTANCE_KONTROLA_NOT_0_1,OBISK_2,textbox4,textbox15,textbox18,textbox23,textbox25,OBISK_1,NAPRAVA,IME_VOZNIKA,TIME_RECEIVED_MIN,TIME_RECEIVED_MAX,StopTime,NASLOV,DISTANCE_KONTROLA_0,DISTANCE_KONTROLA_NOT_0,OBISK
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:28:28,17.10.2018 00:42:30,0:14:02,"HRVATSKA: KARLOVAC, ZAGREBAKA",0,32.704,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:28:28,17.10.2018 00:42:30,,ZAK: karlovac: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:28:28,17.10.2018 00:42:30,,ZAK: karlovac: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:28:28,17.10.2018 00:42:30,,"AUTO HRVATSKA AUTOMOBILI d.o.o., Karlovac, Fiat",,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:44:58,17.10.2018 00:45:36,0:00:38,"HRVATSKA: KARLOVAC, PRILAZ VEESLAVA HOLJEVCA",0,2.283,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:47:51,17.10.2018 00:49:21,0:01:30,"HRVATSKA: KARLOVAC, ",0,1.726,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:47:51,17.10.2018 00:49:21,,RUDMAN COMMERCE: Karlovac (GM),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 00:47:51,17.10.2018 00:49:21,,RUDMAN COMMERCE: Karlovac GM,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 02:07:37,17.10.2018 02:10:47,0:03:10,"HRVATSKA: LOKVE, D3",0,87.204,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 02:44:13,17.10.2018 02:44:51,0:00:38,"HRVATSKA: RIJEKA, MOST RJEINA",0,38.544,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 02:50:02,17.10.2018 02:59:58,0:09:56,"HRVATSKA: RIJEKA, MIHAEVA DRAGA",0,4.801,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 02:50:02,17.10.2018 02:59:58,,ADRIA: Rijeka: (RN),,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 02:50:02,17.10.2018 02:59:58,,ADRIA: Rijeka: RN,,,
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:07:38,17.10.2018 03:10:56,0:03:18,"HRVATSKA: VI`KOVO, FURIEVO",0,5.963,1
,,,,,,,,,,,,,,,,,,,,
KA 411-HT,Skupaj vozilo:,3:28:23,0,550.071,14,Dan,17.10.2018,1:40:58,0,477.594,9,KA 411-HT,,17.10.2018 03:07:38,17.10.2018 03:10:56,,ARK-MIHELI: Viskovo: (Ty),,,
,,,,,,,,,,,,,,,,,,,,
